kecamatan,cluster,standar_terpenuhi,kualitas_pendidikan,prioritas_1,prioritas_2,prioritas_3,rekomendasi,x1_value,x2_value,x3_value,x4_value,x5_value,x6_value,x7_value
Karangpilang,1,2,rendah,x7,x2,x5,"1) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 2) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 3) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",34.4007,23.4343,17.2608,26.8028,0.515531,0.608439,0.195939
Kenjeran,1,3,rendah,x7,x6,x5,"1) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 2) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 3) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",33.7245,12.5196,22.822,4.71104,0.476886,0.132611,0.109782
Krembangan,1,2,rendah,x7,x2,x5,"1) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 2) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 3) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",16.7607,24.693,36.1574,28.7476,0.616142,0.649135,0.116324
Lakarsantri,0,3,rendah,x7,x6,x5,"1) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 2) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 3) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",12.0482,16.9647,17.8421,23.9744,0.347844,0.31732,0.0912048
Mulyorejo,1,1,sangat rendah,x2,x7,x6,"1) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 2) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 3) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",35.8449,27.0957,38.2064,20.8425,0.858987,0.612653,0.420609
Pabean Cantian,1,1,sangat rendah,x2,x6,x5,"1) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 2) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 3) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",39.9336,29.835,38.8436,27.2447,0.278877,0.125261,0.715667
Pakal,0,3,rendah,x6,x5,x2,"1) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 2) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 3) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",10.1105,22.3133,23.8441,19.1084,0.234138,0.0416328,0.776641
Rungkut,0,3,rendah,x2,x7,x5,"1) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 2) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 3) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",24.9572,29.4142,21.949,24.5974,0.616735,0.703556,0.211394
Sambikerep,0,3,rendah,x7,x6,x1,"1) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 2) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 3) Perlu penambahan ruang kelas baru atau redistribusi siswa antar sekolah untuk mengurangi kepadatan kelas dan menciptakan lingkungan belajar yang lebih kondusif, sehingga interaksi antara guru dan siswa dapat lebih efektif; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",39.6376,16.1727,17.8052,17.409,0.909144,0.514349,0.186497
Sawahan,0,2,rendah,x7,x5,x6,"1) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 2) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 3) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",14.8809,17.1778,39.7733,3.71034,0.128937,0.626359,0.0695852
Semampir,1,4,sedang,x7,x5,x6,"1) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 2) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 3) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",30.1948,11.4661,21.5334,3.57917,0.631783,0.829521,0.144718
Simokerto,0,5,sedang,x7,x5,,"1) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 2) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 3) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 4) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",27.6521,12.0471,12.8431,28.2525,0.229125,0.986712,0.19363
Sukolilo,0,3,rendah,x5,x7,x6,"1) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 2) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 3) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",21.7316,10.0723,35.7231,4.64627,0.132571,0.692808,0.359294
Sukomanunggal,0,2,rendah,x6,x2,x5,"1) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 2) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 3) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",37.7362,21.8988,11.0128,6.19834,0.644788,0.453002,0.755753
Tambaksari,1,3,rendah,x7,x5,x6,"1) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 2) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 3) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",37.8774,14.0247,24.8068,19.4801,0.158414,0.503812,0.129971
Tandes,1,4,sedang,x6,x5,x7,"1) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 2) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 3) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",27.6021,12.6806,16.8671,15.9827,0.435627,0.0390015,0.695348
Tegalsari,1,3,rendah,x5,x6,x7,"1) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 2) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 3) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",24.5034,17.6818,22.1642,11.0717,0.0340345,0.0733323,0.180707
